,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
291,Edens Zero,tt13167196,series,"A young boy cut off from the world meets his friends and sets off on a hard, long journey to be reborn.",2021–,TV-14,1 min,"Animation, Action, Adventure",Japan,tt13167196,7.2,"1,458"
292,Trolls,tt1679335,movie,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",2016,PG,92 min,"Animation, Adventure, Comedy",United States,tt1679335,6.4,"82,269"
293,211,tt4976192,movie,"While on a routine patrol, an aging cop, his partner and their ride-along, get caught in a standoff with a band of former mercenaries robbing a bank.",2018,R,86 min,"Action, Drama, Thriller","United States, Bulgaria",tt4976192,4.4,"8,489"
294,Transformers: The Last Knight,tt3371366,movie,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",2017,PG-13,154 min,"Action, Adventure, Sci-Fi","United States, China, Canada",tt3371366,5.2,"151,978"
295,Jumanji: The Next Level,tt7975244,movie,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most danger...",2019,PG-13,123 min,"Action, Adventure, Comedy",United States,tt7975244,6.7,"249,093"
296,Where Is Marta?,tt15796898,series,"Teenager Marta del Castillo's disappearance made headlines in Spain. Family, friends, police and more weigh in on a case that is still unresolved.",2021,N/A,N/A,"Documentary, Crime, Mystery",Spain,tt15796898,6.8,"1,339"
297,The Club,tt4375438,movie,"A crisis counselor is sent by the Catholic Church to a small Chilean beach town where disgraced Priests and nuns, suspected of crimes ranging from child abuse to baby-snatching from unwed mothers, live secluded, after an incident ...",2015,Not Rated,98 min,"Drama, Mystery, Thriller",Chile,tt4375438,7.2,"11,244"
298,21 Jump Street,tt1232829,movie,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,2012,R,109 min,"Action, Comedy, Crime",United States,tt1232829,7.2,"556,200"
299,The Girl in the Spider's Web,tt5177088,movie,"Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",2018,R,115 min,"Action, Crime, Drama","Germany, United Kingdom, Canada, Sweden, United States",tt5177088,6.1,"48,117"
300,Monk Comes Down the Mountain,tt3594826,movie,"A monk leaves his monastery and ventures out into the real world for the first time in his life, and ends up in an adventure with a kung-fu master who is guarding a special artifact.",2015,Not Rated,123 min,Action,"China, United States",tt3594826,5.5,"2,088"
301,Luis Miguel: The Series,tt8045690,series,"The series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.",2018–2021,TV-MA,1 min,"Biography, Drama, History",Mexico,tt8045690,8.1,"4,763"
302,King Arthur: Legend of the Sword,tt1972591,movie,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",2017,PG-13,126 min,"Action, Adventure, Drama","United Kingdom, United States, Australia",tt1972591,6.7,"217,040"
303,Bloodshot,tt1634106,movie,"Ray Garrison, a slain soldier, is re-animated with superpowers.",2020,PG-13,109 min,"Action, Adventure, Sci-Fi",United States,tt1634106,5.7,"77,969"
304,A Dog's Journey,tt8385474,movie,A dog finds the meaning of his own existence through the lives of the humans he meets.,2019,PG,109 min,"Adventure, Comedy, Drama","China, India, Hong Kong, United States",tt8385474,7.4,"24,934"
305,Venom,tt1270797,movie,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",2018,PG-13,112 min,"Action, Adventure, Sci-Fi","United States, China",tt1270797,6.6,"481,692"
306,Friendzone,tt14700948,movie,Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend.,2021,TV-MA,88 min,"Comedy, Romance",France,tt14700948,5.9,"3,559"
307,What Happens in Vegas,tt1033643,movie,"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",2008,PG-13,99 min,"Comedy, Romance",United States,tt1033643,6.1,"177,645"
308,Unfaithful,tt0250797,movie,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,2002,R,124 min,"Drama, Romance, Thriller","France, Germany, United States",tt0250797,6.7,"90,382"
309,Going in Style,tt2568862,movie,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",2017,PG-13,96 min,"Comedy, Crime",United States,tt2568862,6.6,"86,041"
310,Street Kings,tt0421073,movie,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.",2008,R,109 min,"Action, Crime, Thriller",United States,tt0421073,6.8,"114,570"
